Khalil-ur-Rehman	M
Khamis	M
Kulthum	M
	M
Labib	M
Lalji	M
Latif	M
Luay	M
Lutfullah	M
Lutfur Rahman	M
	M
Mahbubur	M
Mahdi	M
Mahfuz	M
Mahir	M
Mahmud	M
Majid	M
Malik	M
Mamdouh	M
Mansur	M
Manzur	M
Marwan	M
Mashallah	M
Masoud	M
Maytham	M
Mehdi	M
Melhem	M
Michel	M
Midhat	M
Mizanur Rahman	M
Moatassem	M
Moeen	M
Mohammad Taqi	M
Mohannad	M
Mohy al-Din	M
Moin	M
Moinuddin	M
Mojtaba	M
Moncef	M
Moneim	M
Mu'iz ad-Din	M
Mua'dh	M
Muammer	M
Mubarak	M
Muhammad	M
Muharrem	M
Muhibullah	M
Muhsin	M
Mukhtar	M
Mumtaz	M
Munib	M
Munif	M
Munir	M
Murad	M
Murtaza	M
Musa	M
Muslim	M
Mustafa	M
Muzaffar	M
	M
Nabih	M
Nabil	M
Nadeem	M
Nader	M
Nadir	M
Nadur	M
Naguib	M
Nahyan	M
Naif	M
Naim	M
Naji	M
Najib	M
Najibullah	M
Najim	M
Najm	M
Najm al-Din	M
Naqibullah	M
Naseeb	M
Naseer	M
Nasim	M
Nasir	M
Nasir al-Din	M
Nasrallah	M
Nasri	M
Nasser	M
Nassif	M
Nasuh	M
Nawaf	M
Nawaz	M
Nawfal	M
Nazif	M
Nazim	M
Nazimuddin	M
Nazmi	M
Nihad	M
Nimatullah	M
Nizam al-Din	M
Nu'man	M
Nuh	M
Nur	M
Nur al-Din	M
Nuri	M
Nurullah	M
Nusrat	M
	M
Omar	M
Osama	M
Osman	M
	M
Qaid	M
Qamar ud-Din	M
Qasim	M
Qasymbek	M
Quddus	M
Qudratullah	M
Qusay	M
Qutb	M
Qutb ad-Din	M
	M
Rabih	M
Raed	M
Rafiq	M
Rahim	M
Rahman	M
Rahmatullah	M
Rahmi	M
Rajab	M
Rajaei	M
Raji	M
Ramiz	M
Ramzan	M
Ramzi	M
Rashad	M
Rashid	M
Rashid al-Din	M
Rasul	M
Rayan	M
Redouane	M
Reza	M
Riad	M
Riaz	M
Ridwan	M
Rifat	M
Rizqallah	M
Ruhi	M
Ruhullah	M
Rukn al-Din	M
Rushdi	M
	M
Sa'd al-Din	M
Sa‘id	M
Saad	M
Saadallah	M
Sabri	M
Saddam	M
Sadik	M
Sadr al-Din	M
Safi	M
Safi al-Din	M
Safiullah	M
Sahir	M
Saif	M
Saifullah	M
Saifur Rahman	M
Sajid	M
Sajjad	M
Salah	M
Salah ad-Din	M
Saleh	M
Salem	M
Salim	M
Salman	M
Samad	M
Samee	M
Samer	M
Sami	M
Samir	M
Samiullah	M
Sanaullah	M
Saqib	M
Sardar	M
Sarmad	M
Satam	M
Sattar	M
Sayf al-Din	M
Sayyid	M
Shaban	M
Shad	M
Shafiq ur Rahman	M
Shafiqullah	M
Shahid	M
Shakeel	M
Shakir	M
Shams	M
Shams al-Din	M
Shamsur Rahman	M
Sharaf al-Din	M
Sharifullah	M
Shawkat	M
Shawki	M
Shihab al-Din	M
Shujauddin	M
Shukri	M
Sidique	M
Sidqi	M
Sirajuddin	M
Suhail	M
Suleiman	M
Sultan	M
	M
Taha	M
Taher	M
Tahmid	M
Tahsin	M
Talal	M
Talat	M
Talat	M
Talhah	M
Talib	M
Taqi	M
Taqi al-Din	M
Tarazi	M
Tariq	M
Tawfik	M
Tayeb	M
Tayfur	M
Tony	M
Tufail	M
Turki	M
	M
Ubay	M
Ubayd Allah	M
Uday	M
Uthman	M
	M
Wadih	M
Wadud	M
Wael	M
Wafi	M
Wahed	M
Wahid	M
Wajdi	M
Wajid	M
Waleed	M
Waliullah	M
Wasim	M
Wazir	M
Wissem	M
	M
Yacine	M
Yadollah	M
Yahya	M
Yakub	M
Yasin	M
Yasser	M
Yunus	M
Yusha	M
Yusuf	M
Yusuf Ali	M
	M
Zafar	M
Zafarullah	M
Zafer	M
Zahed	M
Zahir	M
Zahir al-Din	M
Zaid	M
Zaim	M
Zainal	M
Zainal Abidin	M
Zakariya	M
Zaki	M
Zane	M
Zayn ad-Din	M
Zeeshan	M
Ziad	M
Ziauddin	M
Ziaur Rahman	M
