"S/N","English ","Arabic ","Meaning "
"1 ","Obaidiyah ","?????? ","Bondswoman of Allah "
"2 ","Omera ","","One who posses an inspiring and great personality, enjoys having a positive attitude. "
"3 ","Ommata ","???? ","Girl slave. "
"4 ","Orwiya ","????? ","Female mountain goat. "
"5 ","Orzala ","??????? ","Brightness of Fire. "
"6 ","Ozra ","???? ","Virgin, Virgin Mary "
"7 ","Ozza ","??? ","A baby fawn, young female deer, female fawn. "
