"S/N","English ","Arabic ","Meaning "
"1 ","Obaid ","???? ","Small Slave "
"2 ","Omar ","","Long-Lived. "
"3 ","Omeed ","???? ","Hope. "
"4 ","Osama ","?????? ","Lion. "
"5 ","Owais ","???? ","Name of a saint. "
